description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity. The lockdown has been extended three times, and is now scheduled to end on May 24, 2020. UPDATE: The original lockdown was set to last until March 29, but it has been extended for a third time, and is now set to end May 24.",2020-03-16,2020-03-16,2020-05-24,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",69
"Lebanon declared on Sunday a state of health emergency and ordered a two-week lockdown as part of the country’s efforts to combat the spread of the coronavirus effective Wednesday, March 18, until March 29.",2020-03-15,2020-03-18,2020-03-29,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",11
"The Lebanese Prime Minister asked the military, security forces and municipalities to enforce stricter measures--including patrols and checkpoints--to keep people indoors (except when 'absolutely necessary') and prevent gatherings of all kinds. The Ministry of Health warned that those who ignore warnings could face criminal prosecution.",2020-03-21,2020-03-21,NA,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",NA
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity until March 29, 2020. 
The lockdown has been extended again to last until at least June 7, 2020. UPDATE: After a series of lockdown renewals and extensions, the latest decision announced on May 22nd declared the extension of the lockdown until June 7, 2020.",2020-05-22,2020-03-24,2020-06-07,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",75
"Lebanon is extending a nationwide lockdown by two weeks, until April 12, 2020. UPDATE: The original lockdown was set to last until March 29, 2020. It has been extended to April 12, 2020.",2020-03-26,2020-03-26,2020-04-12,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",17
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity until March 29, 2020. 
Update: On March 26, the lockdown was extended until at least April 12. UPDATE: The lockdown that was set to last until March 29 has been extended until April 12.",2020-03-16,2020-03-26,2020-04-12,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",17
"The municipality of Bsharri on April 7, 2020 issued a 'firm request' for all residents to stay home and remain self-isolated for 14 days, including residents who tested negative for the coronavirus.",2020-04-07,2020-04-07,2020-04-09,Lebanon,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"Lebanon is extending its lockdown by an additional two weeks, until April 26, 2020. UPDATE: The original quarantine was set to last until March 29, 2020. It has been extended for a second time, to April 26, 2020.",2020-04-09,2020-04-09,2020-04-26,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",17
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity until March 29, 2020. 
Update 1: On March 26, the lockdown was extended for the first time until April 12. 
Update 2: On April 9, the lockdown was extended for the second time until April 26. UPDATE: This is the second update. The first update was set to expire on April 12, it has been extended again until at least April 26 2020.",2020-04-09,2020-04-12,2020-04-26,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",14
"Lebanon has extended its nationwide lockdown an additional two weeks, until May 12, 2020. The lockdown was set to expire on April 26, 2020 after being extended once already. UPDATE: The original lockdown was extended until April 26, 2020 and has now been extended a second time until May 12, 2020.",2020-04-22,2020-04-22,2020-05-12,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",20
"Lebanon has extended its nationwide lockdown an additional two weeks, until May 10, 2020. The lockdown was set to expire on April 26, 2020 after being extended once already. UPDATE: The original lockdown was extended until April 26, 2020 and has now been extended a second time until May 10, 2020.",2020-04-24,2020-04-26,2020-05-10,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",14
"Lebanon is urging citizens over the age of 65 to stay home and avoid going out except in 'cases of extreme necessity' during the first three phases of its transitional period, which correspond with the dates April 27, 2020 through May 25, 2020.",2020-04-27,2020-04-27,2020-05-25,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,28
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity until March 29, 2020. UPDATE: The ministers agreed that opening all sectors at once is very dangerous, rather a gradual ease of the lockdown will help keep the curve flat. Hence, from April 27 until June 08 there will be a step by step relaxation according to a time table set by the Council of Ministers.",2020-03-16,2020-04-27,2020-06-08,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",42
"As published on May 3, 2020, people in Lebanon will be able to go for walks on the seaside promenades along the Lebanese coast starting Monday, provided they commit to wearing masks and maintaining safe distances.",2020-05-03,2020-05-04,NA,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"As published on May 3, 2020, people in Lebanon will be able to go for walks on the seaside promenades along the Lebanese coast starting Monday, provided they commit to wearing masks and maintaining safe distances.",2020-05-03,2020-05-04,NA,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity until March 29, 2020. After several extensions, the Cabinet issued a timetable on April 27, to gradually ease the lockdown. HOWEVER, 
On May 5, deactivating the effect of the easing timetable announced on April 27, the Cabinet approved the extension of the nationwide lockdown until May 24 to curb the spread of Coronavirus. UPDATE: On May 5, deactivating the effect of the easing timetable announced on April 27, the Cabinet approved the extension of the nationwide lockdown until May 24 to curb the spread of Coronavirus.",2020-03-16,2020-05-05,2020-05-24,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",19
"Lebanon will go under full shutdown for four days beginning May 13 at 7:00 pm and through the morning of May 18. People are required to stay home and only leave when ""absolutely necessary"" during the lockdown.",2020-05-12,2020-05-13,2020-05-18,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),5
"Lebanon announced a two-week lockdown on March 16, 2020, asking citizens to remain at home and not go out except out of extreme necessity until March 29, 2020. The lockdown has been extended several times since then, and is now set to expire on June 7. UPDATE: The original quarantine was meant to last for two weeks starting March 16. It was extended several times. The latest extension was meant to expire on May 24, but the lockdown has now been extended for additional two weeks, until June 7.",2020-05-21,2020-05-21,2020-06-07,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)",17
"The municipality of Mazboud declared a state of emergency on May 22 following an increase in coronavirus cases. Residents are required to be quarantined at home and leave only when necessary. All institutions and shops are to be closed during this period except for medical centers, pharmacies, supermarkets and gas stations.",2020-05-21,2020-05-22,NA,Lebanon,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
Local authorities in the village of Majdal Anjar in the Bekaa governorate have reinstated a full lockdown from the mornning of May 30 through the evening of June 3 after reporting another wave of coronavirus infections. All stores and institutions are to be shut down and residents are required to remain under home quarantine.,2020-05-29,2020-05-30,2020-06-03,Lebanon,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),4
"The Federation of Hermel Municipalities decided in coordination with the Governor of Hermel and the Municipalities to isolating the neighborhood of Marg in Hermel for a period of three days, to determine the subsequent steps to be taken according to the results of the randomly conducted PCR tests.",2020-07-22,2020-07-22,2020-07-26,Lebanon,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),4
"The council of ministers issued the decision no. 137/2020 on 27/7/2020 on the precautionary measures to control the spread of the virus and decided to close the whole country from 30//7/2020 till 3/8/2020 and from 6/8/2020 till 10/8/2020, with the exception of health, food, security, military, pharmaceutical, industrial, journalistic, and agriculture institutions and entities. in addition to ports and public administrations.",2020-07-27,2020-07-30,2020-08-03,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),4
"The council of ministers issued the decision no. 137/2020 on 27/7/2020 on the precautionary measures to control the spread of the virus and decided to close the whole country from 30//7/2020 till 3/8/2020 and from 6/8/2020 till 10/8/2020, with the exception of health, food, security, military, pharmaceutical, industrial, journalistic, and agriculture institutions and entities. in addition to ports and public administrations.",2020-07-27,2020-08-06,2020-08-10,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),4
"The Minister of Interior and Municipalities, based on the Cabinet meeting on 18/8/2020 and based on the recommendations of the National Committee for Follow-up of Preventive Measures and Procedures to Confront the Coronavirus, issued Resolution No. 1003 of 8/8/2020 regarding the maximum closure within the general mobilization procedures to confront the spread of the Coronavirus, Where it was decided to implement the closure from the morning of Friday 21/8/2020 until the morning of Monday 7/9/2020",2020-08-18,2020-08-21,2020-09-07,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),17
"On September 28, 2020, Lebanese authorities announced that in areas designated as ""red zones"" with a high risk of COVID-19 transmission - more than eight cases per 100,000 people over a 14-day period - residents would be mandated to remain at home, and local lockdown measures would be implemented.",2020-09-28,2020-09-28,NA,Lebanon,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Lebanese authorities announced on Friday, October 2, that lockdown restrictions will be implemented in 111 villages and towns nationwide for eight days from Sunday, October 4",2020-10-02,2020-10-04,2020-10-12,Lebanon,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory with Fines,8
